 lilj_1sub                 SWAT+ Nov 30 2021    MODULAR Rev 2020.60.5.4                                   
  jday   mon   day    yr    unit  gis_id     name         grzn        grzp        lab_min_p        act_sta_p            fertn            fertp             fixn            denit        act_nit_n        act_sta_n        org_lab_p     rsd_nitorg_n     rsd_laborg_p          no3atmo          nh4atmo          nuptake          puptake          gwtrann          gwtranp
                                                          kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha
   366    12    31  2004       1       1  hru01          0.000       0.000      -0.677      -0.086            0.000            0.000           20.879            0.000            4.980            2.781            0.836           91.825           12.840            0.000            0.000          141.673           19.658            0.000            0.000
   366    12    31  2004       2       2  hru02          0.000       0.000       0.947       0.846          150.000           30.000            0.000            0.000            5.713            6.453            0.929           99.426           13.935            0.000            0.000          214.048           30.438            0.000            0.000
   366    12    31  2004       3       3  hru03          0.000       0.000       0.093       0.776          150.000           30.000            0.000            0.000           11.907            5.516            1.991          125.677           17.660            0.000            0.000          316.559           44.972            0.000            0.000
   366    12    31  2004       4       4  hru04          0.000       0.000       0.167       0.862          150.000           30.000            0.000            0.000           11.455            5.679            1.914          121.062           17.012            0.000            0.000          296.789           42.177            0.000            0.000
   366    12    31  2004       5       5  hru05          0.000       0.000      -3.251      -0.070            0.000            0.000            0.000            0.000            4.547            1.936            0.758           25.390           13.032            0.000            0.000           28.828           17.015            0.000            0.000
   366    12    31  2004       6       6  hru06          0.000       0.000      -2.852       0.029            0.000            0.000            0.000            0.000            1.800            2.714            0.265           26.807           13.046            0.000            0.000           30.216           17.162            0.000            0.000
   366    12    31  2004       7       7  hru07          0.000       0.000      -1.758      -0.096            0.000            0.000            0.000            0.000            9.096            1.136            1.543           40.798           12.989            0.000            0.000           74.399           18.172            0.000            0.000
   366    12    31  2004       8       8  hru08          0.000       0.000      -1.511      -0.032            0.000            0.000            0.000            0.000            7.453            1.624            1.260           37.733           13.049            0.000            0.000           54.356           17.835            0.000            0.000
   366    12    31  2004       9       9  hru09          0.000       0.000      -2.145       0.038            0.000            0.000            0.000            0.000           10.269            0.710            1.746           39.280           12.992            0.000            0.000           64.440           18.487            0.000            0.000
   366    12    31  2004      10      10  hru10          0.000       0.000       2.974       1.156          150.000           30.000            0.000            0.000            1.906            2.910            0.306           37.811            8.303            0.000            0.000          134.903           19.130            0.000            0.000
   366    12    31  2004      11      11  hru11          0.000       0.000       2.771       1.052          150.000           30.000            0.000            0.000            4.859            1.922            0.824           38.172            8.769            0.000            0.000          149.186           21.156            0.000            0.000
   366    12    31  2004      12      12  hru12          0.000       0.000       2.705       1.124          150.000           30.000            0.000            0.000           11.003            0.736            1.880           40.899            9.156            0.000            0.000          152.014           21.557            0.000            0.000
   366    12    31  2004      13      13  hru13          0.000       0.000       2.256       1.008          150.000           30.000            0.000            0.000            9.458            1.428            1.612           47.270           10.519            0.000            0.000          190.457           28.486            0.000            0.000
   366    12    31  2004      14      14  hru14          0.000       0.000      -3.182      -0.081            0.000            0.000            0.000            0.000            4.522            1.823            0.755           22.997           12.671            0.000            0.000           25.619           15.742            0.000            0.000
   366    12    31  2004      15      15  hru15          0.000       0.000      -1.675      -0.109            0.000            0.000            0.000            0.000            9.057            0.968            1.537           38.231           12.679            0.000            0.000           76.711           17.112            0.000            0.000
   366    12    31  2004      16      16  hru16          0.000       0.000      -1.352      -0.043            0.000            0.000            0.000            0.000            7.416            1.468            1.255           35.318           12.696            0.000            0.000           56.760           16.546            0.000            0.000
   366    12    31  2004      17      17  hru17          0.000       0.000      -2.295      -0.015            0.000            0.000            0.000            0.000           10.203            0.462            1.736           35.175           12.280            0.000            0.000           65.262           17.499            0.000            0.000
   366    12    31  2004      18      18  hru18          0.000       0.000      -0.170       0.039            0.000            0.000            0.000            0.000            4.791            2.137            0.794           35.160           12.662            0.000            0.000           55.748           15.503            0.000            0.000
   366    12    31  2004      19      19  hru19          0.000       0.000      -1.654      -0.111            0.000            0.000            0.000            0.000            8.947            0.978            1.518           38.297           12.679            0.000            0.000           76.921           17.060            0.000            0.000
   366    12    31  2004      20      20  hru20          0.000       0.000      -3.183      -0.081            0.000            0.000            0.000            0.000            4.520            1.823            0.755           22.996           12.671            0.000            0.000           25.618           15.742            0.000            0.000
   366    12    31  2004      21      21  hru21          0.000       0.000      -2.302      -0.016            0.000            0.000            0.000            0.000           10.138            0.464            1.725           35.182           12.280            0.000            0.000           65.324           17.506            0.000            0.000
   366    12    31  2004      22      22  hru22          0.000       0.000      -1.355      -0.043            0.000            0.000            0.000            0.000            7.410            1.468            1.254           35.321           12.697            0.000            0.000           56.782           16.549            0.000            0.000
   366    12    31  2004      23      23  hru23          0.000       0.000      -3.717      -0.121            0.000            0.000            0.000            0.000            4.458            1.868            0.741           30.409           11.668            0.000            0.000           51.687           18.087            0.000            0.000
   366    12    31  2004      24      24  hru24          0.000       0.000      -0.906      -1.086            0.000            0.000            0.000            0.000            4.671           -1.133            0.801            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004      25      25  hru25          0.000       0.000      -0.770      -1.086            0.000            0.000            0.000            0.000           11.982           -2.866            2.054            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004      26      26  hru26          0.000       0.000      -0.605      -0.950            0.000            0.000            0.000            0.000           12.190           -2.946            2.089            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004      27      27  hru27          0.000       0.000      -0.839      -0.974            0.000            0.000            0.000            0.000            1.270           -0.312            0.218            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000
   366    12    31  2004      28      28  hru28          0.000       0.000       2.039       0.659            0.000            0.000            0.000            0.000            8.043            1.096            1.349           23.978           18.301            0.000            0.000           25.324            3.243            0.000            0.000
   366    12    31  2004      29      29  hru29          0.000       0.000       1.526       0.783            0.000            0.000            0.000            0.915           20.920           -1.460            3.569           27.381           18.370            0.000            0.000           44.683            4.751            0.000            0.000
   366    12    31  2004      30      30  hru30          0.000       0.000       2.136       0.633            0.000            0.000            0.000            1.091           19.490           -0.799            3.315           29.537           18.577            0.000            0.000           46.269            5.369            0.000            0.000
   366    12    31  2004      31      31  hru31          0.000       0.000      -5.963      -0.854            0.000            0.000            0.000            0.000            4.843            0.823            0.819           -0.282            0.406            0.000            0.000            6.285           18.937            0.000            0.000
   366    12    31  2004      32      32  hru32          0.000       0.000      -3.928      -0.900            0.000            0.000            0.000            0.000            9.646           -0.422            1.647           -0.349            0.150            0.000            0.000           11.044           18.930            0.000            0.000
   366    12    31  2004      33      33  hru33          0.000       0.000       1.728       1.448            0.000            0.000            0.000            0.000            0.911            1.825            0.003            0.065            6.268            0.000            0.000            2.244            1.158            0.000            0.000
